अकड़	اڪڙ
गसु	گس
गसु	گسُ
गस्यल्	گسيل
गहणु	گهڻ
गहिपी	گهپي
गहिरो	گھرو
गह्पीअ	گهپيءَ
गह्री	گهري
गह्रो	گھرو
गाइकी	گائڪي
ग़ाइब	غائب
गाॾड़	گاڏڙ
गाॾयुन	گاڏين
गाॾी	گاڏي
गाॾीअ	گاڏيءَ
गादेलो	گاديلو
गानो	گانو
ग़ाफ़िल	غافل
ग़ाफ़िल्	غافل
गाबिरू	گابرو
गाबो	گابو
गाब्रो	گابرو
गामु	گام
गायक	گايڪ
गायका	گايڪا
ग़ार	غار
गारियुन	گارين
गारियुन	گاريون
गारियुन्ख़ोर	گاريُنخور
ग़ालिब	غالب
ग़ालीचो	غاليچو
गास्लेट्	گاسليٽ
गाह	گاھ
गाह	گاه
गाहु	گاه
गांइ	گان
गांइ	گانءِ
गांगटु	کانکٽ
गांगटु	گانگٽ
गांजो	گانجو
गिग	گگ
गिगूं	گگون
ग़िज़ा	غذا
गिदड़ु	گدڙ
गिदामिड़ी	گدامڙي
गिद्रो	گدرو
गिप्जणु	گپجڻ
गियानी	گياني
गिरफ़्तार	گرفتار
गिरफ़्तारी	گرفتاري
गिरह	گره
गिरहु	گره
गिरावट	گراوٽ
गिराहकु	گراهڪ
गिरिफ़्तार	گِرَفِتار
गिरिफ़्तारी	گرفتاري
गिर्जाघर	گرجاگھر
गिर्वी	گروي
गिर्वीदार	گرويدار
गिला	گلا
गिलाख़ोर	گلاخور
गिल्टी	گلٽي
गिहिलणु	گھلڻ
गिहिलणु	گهلڻ
गिहीअणु	گھيئڻ
गिह्लणु	گهلڻ
गीतु	گيت
गीदीपिणो	گيديپڻو
गीसाइणु	گيسائڻ
गुज़रु	گذر
गुज़ारण	گذارڻ
गुज़ारणु	گذارڻ
गुज़ारणु	گزارڻ
गुज़िरान	گذران
गुज़िरानु	گذران
गुज़िर्यल	گذريل
गुजी	گجي
गुज़्रणु	گذرڻ
गुज़्रान	گذران
गुज़्रान्	گذران
गुज़्रियल	گذريل
गुज़्री	گُذري
गुड़	گڙ
गुॾी	گڏي
गुण	گڻ
गुणी	گڻي
गुणु	گڻ
गुणो	گڻو
गुणोतर	گڻوتر
गुण्वानु	گڻوان
गुतो	گتو
गुदाम	گدام
गुदामु	گدام
गुदाम्	گدام
गुनहगार	گنهگار
गुनह्गार	گنهگار
गुनाह	گناه
गुनाहु	گناه
गुनाह्	گناھ
ग़ुनो	غنو
गुन्गुनाइणु	گنگنائڻ
गुप्त	گپٽ
गुप्त	گپت
गुप्त्	گپت
ग़ुफ़ा	غُفا
गुफ़्तगू	گفتگو
गुफ़्तगू	گفتگوُ
ग़ुबारु	غبار
गुम	گم
गुमान	گمان
गुमानु	گمان
गुमान्	گمان
गुम्	گم
गुम्नाम	گمنام
गुम्नामी	گمنامي
गुम्नाम्	گُمنام
गुम्राह	گمراھ
गुम्राह	گمراه
गुम्राह	گھمراه
गुम्राह	گُمِراه
गुम्राह्	گمراہ
गुरिड़ी	گرڙي
गुरू	گروُ
गुर्दो	گردو
गुल	گل
गुलन	گلن
गुलनि	گلن
गुलाब	گلاب
गुलाबी	گلابي
ग़ुलाम	غلام
ग़ुलाम	غُلام
ग़ुलामी	عُلاميِ
ग़ुलामी	غلامي
गुलिरु	گلر
गुलु	گل
गुलेल	گليل
गुल्दस्तो	گلدستو
गुसाइणु	گسائڻ
ग़ुसे	غصي
ग़ुसो	غصو
गुसो	گُسو
गुस्ताख़	گستاخ
गुस्ताख़ी	گستاخي
गुस्ताख़ीअ	گستاخي
गुस्ताख़्	گستاخ
गुंजाइश	گنجائش
गुंडो	گنڊو
गूंगो	گونگو
गूंजणु	گونجڻ
गूंजंदड़	گونجندڙ
गेह्राण्	گيھراڻ
गेह्रो	گيھرو
गेंडी	گينڊي
गेंदे	گيندي
ग़ैड़	غير
ग़ैबत	غيبت
ग़ैब्	غائب
ग़ैर	غير
गैस	گَيس
गोइ	گوءِ
गोड़	گوڙ
गोड़ीलो	گوڙيلو
गोड़ु	گوڙ
गोड़ु	گوڙُ
गोड़्	گوڙ
गोड़्हा	گوڙها
गोॾन	گوڏن
गोॾो	گوڏو
ग़ोता	غوتا
ग़ोतो	گھوتو
गोथ्नाथी	گوٿَناٿيِ
गोद	گود
गोदि	گود
गोधी	گوڌي
गोबर्	گوبر
गोबी	گوبي
गोबो	گوبو
गोया	گويا
गोरी	گوري
गोरी	گوريِ
गोरो	گورو
गोल	گول
गोलाई	گولائي
गोलाओं	گولائون
गोलाकार	گولاڪار
गोलाटी	گولاٽي
गोली	گولي
गोलु	گول
गोलो	گولو
गोल्मटोल	گولمٽول
गोल्माल्	گولمال
गोशाइतो	گوشائتو
गोशे	گوشي
गोश्त	گوشت
गोहीर्	گوھير
ग़ौर	غور
ग़ौरु	غور
ग़ौर्	غور
गंगा	گَنگا
गंजी	گنجي
गंजु	گنج
गंजो	گنجو
गंद	گند
गंदगी	گندگي
गंदी	گندي
गंदु	گند
गंदु	گَندُ
गंदो	گندو
गंभीर	گنڀير
गंभीर्ता	گنڀيرتا
ग्यान	گيان
ग्यानी	گياني
ग्यानु	گيان
ग्यान्	گيان
ग्यान्	گِيان
ग्रम्	گرامر
ग्रह	گره
ग्रहण	گرھڻ
ग्रहण	گرهڻ
ग्रहणु	گِرِهَڻُ
ग्रहनि	گرهن
ग्रहिस्त	گِرَهِسِت
ग्रहु	گره
ग्रहु	گرَهُ
ग्रामर	گرامر
ग्राहक	گراهڪ
ग्राहकु	گراهڪ
ग्राहिकी	گراھڪي
ग्राहिक्	گراھڪ
ग्राह्कु	گراھڪ
ग्रिफ़्तारी	گِرِفِتاريِ
ग्रेडु	گريڊ
ॻऊं	ڳئَوُن
ॻझॻोह	ڳجھڳوه
ॻठो	ڳٺو
ॻठ्ड़ी	ڳٺڙي
ॻठ्ड़ो	ڳٺرو
ॻड़्ह्यल	ڳڙهيل
ॻणण	ڳڻڻ
ॻणणु	ڳڻڻ
ॻणत	ڳڻت
ॻणत्	ڳَڻَتِ
ॻणप	ڳَڻَپَ
ॻणप	ڳڻپ
ॻण्ती	ڳڻتي
ॻण्प	ڳڻپ
ॻनी	ڳني
ॻनु	ڳن
ॻन्	ڳن
ॻन्ढणु	ڳَنڍَڻُ
ॻभु	ڳڀ
ॻभ्रू	ڳبرو
ॻभ्रू	ڳڀرو
ॻरण	ڳرڻ
ॻरणु	ڳرڻ
ॻरन	ڳَڙَن
ॻरी	ڳري
ॻरु	ڳر
ॻरो	ڳرو
ॻरो	ڳَرو
ॻरंदड़	ڳرندڙ
ॻर्यल	ڳريل
ॻहणु	ڳهڻ
ॻहु	ھه
ॻाइणु	ڳائڻ
ॻाईंदड़	ڳائيندڙ
ॻाछा	ڳاڇا
ॻाछा	ڳَاڇا
ॻाटे	ڳاٽي
ॻाड़णु	ڳاڙڻ
ॻाड़्हाणि	ڳاڙھاڻ
ॻाड़्हो	ڳاڙهو
ॻाड़्हो	ڳاڙھو
ॻाड़्ह्यूं	ڳاڙھيون
ॻारणु	ڳارڻ
ॻारींदड़	ڳاريندڙ
ॻारु	ڳار
ॻारो	ڳارو
ॻालाहिण	ڳالهائڻ
ॻालाहींदड़ु	ڳالهائيندڙ
ॻालाहू	ڳالهائو
ॻालिह	ڳالھ
ॻालिह	ڳاله
ॻाल्ह	ڳالھ
ॻाल्ह	ڳاله
ॻाल्हाइण	ڳالھائڻ
ॻाल्हाइण	ڳالهائڻ
ॻाल्हाइणु	ڳالھائڻ
ॻाल्हाइणु	ڳاِلھائِڻُ
ॻाल्हाइणु	ڳالهائِڻُ
ॻाल्हाइणु	ڳالهائڻ
ॻाल्हाईंदड़	ڳالِهائينِدَڙ
ॻाल्हाईंदड़्	ڳالهائيندڙ
ॻाल्हाऊ	ڳالهائو
ॻाल्हि	ڳاھ
ॻाल्हि	ڳالھ
ॻाल्हि	ڳاله
ॻाल्ह्	ڳالھ
ॻाल्ह्	ڳاله
ॻाल्ह्यूं	ڳالهيون
ॻिची	ڳچي
ॻिझ	ڳج
ॻिटी	ڳٽي
ॻिन्हणु	ڳنهڻ
ॻिर्काइणु	ڳرڪائڻ
ॻीत	ڳيِتَ
ॻीही	ڳيهي
ॻुझारत	ڳجھارت
ॻुझी	ڳجھي
ॻुझु	ڳجھ
ॻुझो	ڳجھو
ॻुझो	غجھو
ॻुझ्ड़ो	ڳجھڙو
ॻुड़ु	ڳڙ
ॻुतियलु	ڳتيل
ॻुत्यल्	ڳتيل
ॻूड़्हो	ڳوڙهو
ॻूड़्हो	ڳوُڙھو
ॻूण	ڳوُڻ
ॻूणि	ڳوڻ
ॻोठ	ڳوٺ
ॻोठाणो	ڳوٺاڻو
ॻोठु	ڳوٺ
ॻोड़्हा	ڳوڙها
ॻोड़्हो	ڳوڙهو
ॻोड़्हो	ڳوڙھو
ॻोथ्री	ڳوٿري
ॻोला	ڳولا
ॻोल्हणु	ڳولھڻ
ॻोल्हणु	ڳولهڻ
ॻोल्हा	ڳولها
ॻोल्हाऊ	ڳولهائو
ॻोल्हींदड़्	ڳولھيندڙ
ॻोल्हे	ڳولهي
ॻोल्हे	ڳولھي
ॻोहिणु	ڳوھڻ
ॻोहियलु	ڳوھيل
ॻौरो	ڳورو
ॻंडी	ڳنڍي
ॻंढ	ڳنڊ
ॻंढणु	ڳنڊڻ
ॻंढि	ڳنڍ
ॻंढिरु	ڳنڊر
ॻंढ्यलु	ڳنڍيل
ॻंवार	ڳنوار
ॻंवार	ڳَنوار
ॻंवारु	ڳنوار
घघो	گھگھو
घट	گھٽ
घटणु	گھٽڻ
घटा	گهٽا
घटाइणु	گھٽائڻ
घटाई	گھٽائي
घटाउ	گھٽاءُ
घटि	گھَٽ
घटि	گھَٽِ
घटि	گھٽ
घटि	گهٽ
घटिजणु	گھٽجڻ
घटिताई	گھٽتائي
घटिताईन्	گھٽتائين
घटियल	گھٽيل
घट्	گھٽ
घट्जणु	گھٽجڻ
घट्ताई	گھٽتائي
घट्ना	گھٽنا
घट्यलु	گھٽيل
घड़णु	گھڙڻ
घड़प	گڙپ
घड़ियाल्	گھڙيال
घड़ियो	گھڙيو
घड़ी	گھڙي
घड़ीअ	گھڙيءَ
घड़ो	گھڙو
घड़्णी	گهڙڻي
घड़्यल	منگھڙيل
घण	گھڻ
घणरूप	گھڻروپ
घणा	گھڻا
घणाई	گھڻائي
घणि	گھڻ
घणी	گھڻي
घणीए	گھڻيئي
घणे	گھڻي
घणो	گَھڻو
घणो	گھَڻو
घणो	گھڻو
घतणु	گھتڻ
घताई	گھٽائي
घॿराइणु	گھبرائڻ
घॿराइणु	گھٻرائڻ
घॿरायल	گھٻرايل
घॿरायलु	گھٻرايل
घॿराहट	گھٻراهٽ
घॿराहट्	گھٻراھٽ
घॿराहत	گھٻراهٽ
घॿरो	گھٻرو
घॿिराइणु	گھبرائڻ
घॿिराइणु	گھٻرائڻ
घमंडी	گھمنڊي
घमंडु	گھمنڊ
घर	گھر
घर	گھَرَ
घरवारी	گھرواري
घराणो	گھراڻو
घरु	گھر
घरु	گھَرُ
घरू	گھرو
घर्घर	گھرگھر
घर्घराईंदड़	گھرگھرائيندڙ
घर्घ्राहट	گھرگھراهٽ
घसीटणु	گھسيٽڻ
घाइणु	گھائڻ
घाइल	گھائل
घाइलु	گهائل
घाउ	گھاءُ
घाघ्रो	گھاگھرو
घाटा	گھاٽا
घाटि	گھاٽِ
घाटी	گھاٽي
घाटु	گھاٽ
घाटेरो	گھاٽيرو
घाटो	گھاٽو
घातक	گھاتڪ
घातक्	گھاتڪ
घातु	گھات
घायल्	گھايل
घिटी	گھٽي
घिड़ण	گھڙڻ
घिड़णु	گھڙڻ
घिण्कणु	گھڻڪڻ
घिण्कार	گھڻڪار
घिम	گھم
घिमियल्	گھميل
घिम्यल	گھميل
घिम्यलु	گھميل
घिरण	گھرڻ
घिरणु	گِھرَڻُ
घिरणु	گهرڻ
घिरंडड़ु	گهرندڙ
घिरंदी	گھرندي
घिलणु	گھلڻ
घिंड	گھنڊ
घिंडिड़ीअ	گھنڊڙيءَ
घिंडु	گھنڊ
घुघी	گھگھي
घुघू	گھگھو
घुटणु	گھٽڻ
घुटन	گھٽن
घुटो	گھٽو
घुट्यल	گھٽيل
घुन्जणु	گھنجڻ
घुन्जाइणु	گھنجائڻ
घुपाइणु	گھپائڻ
घुॿु	گھٻ
घुमणु	گھمڻ
घुमाइणु	گھمائڻ
घुम्तारी	گھمتاري
घुम्रो	گھمرو
घुर	گھر
घुरणु	گھرڻ
घुराइणु	گھرائڻ
घुरंदड़	گھرندڙ
घुर्ज	گھرج
घुर्जाऊ	گھرجائو
घुर्जूं	گھُرجوُن
घुर्जे	گھرجي
घुर्बल्	گھُربَل
घुर्यो	گھريو
घुसणु	گھسڻ
घुसी	گھسيِ
घुस्पेठ्	گھسپيٺ
घुंजु	گھج
घुंडी	گھنڊي
घुंडीदार्	گھنڊيدار
घुंडु	گھنڊ
घूमाट	گھوماٽ
घूरणु	گهورڻ
घूंघटु	گھونگھٽ
घेटो	گھيٽو
घेड़णु	گھيڙڻ
घेर	گھير
घेरणु	گھيرَڻُ
घेरा	گھيرا
घेरि	گھير
घेरो	گھيرو
घोघो	گھوگھو
घोटणु	گھوٽڻ
घोटालो	گھوٽالو
घोटु	گھوٽ
घोटु	گھوٽُ
घोड़ी	گھوڙي
घोड़े	گھوڙي
घोड़ो	گھوڙو
घोमू	گھومو
घोमू	گھوموُ
घोर	گھور
घोशे	گھوشي
घोश्णा	گھوشڻا
घोश्ना	گھوشنا
चएवान	چئيوان
चकर	چَڪَر
चकर	چڪر
चकरु	چڪر
चकर्दार	چڪردار
चकास	چڪاس
चकासणु	چڪاسڻ
चकी	چڪي
चकु	چڪ
चक्नाचूर	چڪناچور
चक्मक	چقمق
चक्राऊं	چڪرائون
चक्रो	چڪرو
चक्रो	ڇڪرو
चॻर	چڳر
चघु	چگھ
चङमुड़्सी	چڱمڙسي
चङाई	چَڱائي
चङी	چڱي
चङीअ	چَڱيءَ
चङीअ	چڱيءَ
चङो	چڱو
चञो	چڱو
चट	چَٽَ
चट	چٽ
चटणु	چٽڻ
चटाईदार	چٽائيدار
चटाभेटी	چٽاڀيٽي
चटी	چٽي
चटु	چَٽُّ
चटु	چٽ
चट्णी	چٽڻي
चड़ती	چڙتي
चड़्हण	چڙھڻ
चड़्हणु	چڙھڻ
चड़्हणु	چڙهَڻُ
चड़्हणु	چڙهڻ
चड़्हाइणु	چڙھائڻ
चड़्हाई	اڳرائي
चड़्हाई	چاڙهي
चड़्हाई	چڙھائي
चड़्हाई	چَڙِھائِيِ
चड़्हाई	چَڙهائيِ
चड़्हियो	چڙيو
चड़्ही	چڙهي
चड़्हंदड़	چڙهندڙ
चड़्ह्यल	چڙهيل
चड़्ह्यल	ڇڙهيل
चती	چتي
चतुर	چتر
चतुराई	چترائي
चतूं	چتون
चथर	چٿر
चन्ब्राइणु	چَنبرائِڻُ
चपन	چپن
चपु	چپ
चपुटी	چپٽي
चप्टी	چپٽي
चप्रासी	چپراسي
चबूतिरो	چبوترو
चॿणु	چٻڻ
चॿाइणु	چٻائڻ
चॿाड़णु	چٻاڙڻ
चॿारणु	چٻارڻ
चॿिको	چٻڪو
चमक	چمڪ
चमत्कार	چمتڪار
चमत्कारी	چمتڪاري
चमत्कारु	چمتڪار
चमाट	چماٽ
चमिरो	چمرو
चमु	چم
चम्कणु	چمڪڻ
चम्काइणु	چمڪائڻ
चम्चो	چمچو
चम्ड़ा	چمڙا
चम्ड़ी	چمڙي
चम्ड़ीअ	چمڙيءَ
चम्ड़ो	چمڙو
चम्पल	چمپل
चम्बो	چمبو
चम्ब्रणु	چَمبرَڻُ
चयल	چيل
चयलु	چيل
चयाई	چيائي
चयो	چيو
चरस	چرس
चरितरहीण	چرترهين
चरित्रवान	چرتروان
चरियाई	چريائي
चरियो	چريو
चर्ख़	چرخ
चर्ख़ी	چرخي
चर्खी	چرکي
चर्खु	چرک
चर्चा	چرچا
चर्चाई	چرچائي
चर्चे	چرچي
चर्चेबाज़ी	چرچيبازي
चर्चो	چرچو
चर्णी	چرڻي
चर्ॿट्	چرٻٽ
चर्ॿी	چرٻي
चर्ॿीदार	چرٻيدار
चर्ॿीदार	چَرٻيِدار
चर्यन	چرين
चर्याइप	چريائپ
चर्याई	چريائي
चर्यो	چريو
चर्हणु	چرهَڻُ
चलाऊ	چلاءُ
चलाऊ	چلائو
चल्तेबाज़्	چلتيباز
चवण	چوڻ
चवणु	چوڻ
चवणु	چوڻُ
चवणु	چَوَڻُ
चवण्	چوڻ
चवाए	چوائي
चविणी	چوڻي
चव्णी	چوڻي
चश्केदार	چشڪيدار
चश्को	چشڪو
चश्मो	چشمو
चहकु	چهڪ
चहर	چهر
चहिबुकु	چهبڪ
चहिबुकु	چهبوڪ
चहिर	چهر
चहिरे	چھري
चह्कणु	چهڪڻ
चह्कु	چهڪ
चह्चिटो	چهچٽو
चह्बुक	چهبڪ
चह्बुकु	چهبڪ
चह्रे	چَھري
चाई	چائي
चाकु	چاڪ
चाकू	چاقوُ
चाची	چاچي
चाचो	چاچو
चाड़ीअ	چاڙيءَ
चाड़्हण	چاڙھڻ
चाड़्हणु	چاڙھڻ
चाड़्हणु	چاڙهڻ
चाड़्ही	چاڙھي
चाणो	چاڻو
चादर	چادر
चाद्रूं	چادرون
चाप्लूस	چاپلوس
चाप्लूस	چاپلوُس
चाप्लूस	چاپلوسي
चाप्लूसी	چاپلوسي
चाप्लूसी	چاپلوُسي
चाॿी	چاٻي
चारणु	چارڻ
चारो	چارو
चार्	چار
चार्नाचार	چارناچار
चार्हींदड़	چارهيندڙ
चाल	چال
चाल	چالَ
चाल	چڱل
चालक	چالاڪ
चालाक	چالاڪ
चालाकी	چالاڪي
चालाकीअ	چالاڪيءَ
चालाकु	چالاڪ
चालाक्	چالاڪ
चालाक्	چالاق
चालीह	چاليه
चालीहो	چاليهو
चालू	چالو
चालू	چالوُ
चाल्बाज़	چالباز
चाल्बाज़ी	چالبازي
चाश	چاش
चाह	چاھ
चाह	چاه
चाहण्	چاھڻ
चाहिणु	چاهڻ
चाहु	چاه
चाहु	چاهُ
चाहे	چاهي
चाह्	چاه
चाह्ना	چاھنا
चांउठि	چانئوٺ
चांटणु	ڇانٽڻ
चांदी	چاندي
चांवर	ڇانور
चांहि	چانه
चि^अ	چِڙَ
चिक	چڪ
चिक्नो	چڪنو
चिख्या	چکيا
चिख्या	چِکِيا
चिचिड़ु	چچڙ
चिची	چچي
चिच्रणु	چِچِرَڻُ
चिटणु	چٽڻ
चिटि	چٽ
चिटी	چٽي
चिटीअ	چٽيءَ
चिटो	چِٽو
चिटो	چٽو
चिट्की	چٽڪي
चिठी	چٺي
चिठो	چٺو
चिड़	چِڙَ
चिड़	چڙ
चिड़	چڙچڙو
चिड़णु	چڙڻ
चिड़िचिड़ो	چڙچڙو
चिड़ो	بد
चिड़्चिड़ो	چڙچڙو
चिड़्चिड़्यो	چڙچڙيو
चिड़्णो	چڙڻو
चिड़्यल	چڙيل
चिणिग	چڻگ
चिण्गारी	چڻگاري
चिण्गूं	چڻگون
चिता	چتا
चिताइणु	چتائڻ
चिताउ	چتاءُ
चितायु	چتاءُ
चिति	چِتِ
चित्र	چِتِرَ
चित्रकार	چترڪار
चित्रकारी	چترڪاري
चित्रु	چتر
चित्रु	چِتِرُ
चिथणु	چٿڻ
चिथर	چٿر
चिधो	چڏو
चिन्तन	چنتن
चिन्ताइक्	چنتائڪ
चिन्हु	چنه
चिप्कू	چپڪو
चिप्कंदड़	چپڪندڙ
चिप्चिपाहट	چپچپاهٽ
चिॿु	چٻ
चिम्कणु	چمڪڻ
चिम्काइणु	چمڪائڻ
चिम्कियल	چمڪيل
चिम्केदार	چمڪيدار
चिम्कंडड़	چمڪندڙ
चिम्कंदड़	چمڪندڙ
चिम्कंदड़्	چمڪندڙ
चिम्टी	چمٽي
चिम्ड़ो	چمڙو
चिम्नी	چمني
चिराग़्	چراغ
चिलाइणु	چلائڻ
चिल्को	چلڪو
चिल्कंदड़	چلڪندڙ
चिल्विलो	چلولو
चिंतन	چنتن
चिंता	چنتا
चिंबिड़ंदड़ु	چبڙندڙ
चीकी	چيڪي
चीको	چيڪو
चीक्लो	چيڪلو
चीचाट	چيچاٽ
चीट	چيٽ
चीड़्हालो	چيڙالو
चीड़्हालो	چيڙھالو
चीड़्हालो	چيڙهالو
चीड़्हु	چيڙه
चीतो	چيتو
चीनी	چيني
चीभाटणु	چيڀاٽڻ
चीरणु	چيرڻ
चीरु	چير
चील	چيِلَ
चीं	چين
चींभ	ڇينڀ
चुक	چڪ
चुक	ڀُلَ
चुकाइणु	چڪائڻ
चुकायल	چڪايل
चुक्तू	چُڪتوُ
चुग़िली	چغلي
चुग़ुलु	چغل
चुग़ुल्ख़ोर	چغلخور
चुॻणु	چڳڻ
चुॻुह्	چڳھ
चुघु	چگھ
चुप	چپ
चुपि	چپ
चुप्चाप	چپچاپ
चुभाइणु	چڀائڻ
चुभाइणु	چبائڻ
चुभंडड़	چبندڙ
चुभंदड़	چبندڙ
चुभ्को	چڀڪو
चुम्बक	چمبڪ
चुम्बकीय	چمبڪيي
चुर	چر
चुर	چُرَ
चुरंदड़	چرندڙ
चुर्च	چرچ
चुर्च	چُرچَ
चुर्पुर	چرپچ
चुल्ह	چله
चुल्ह्	چلھ
चुस्तु	چست
चुस्तु	چُستُ
चुहणु	چُھڻ
चुहणु	چھڻ
चुहणु	چهڻ
चुहिटंदड़्	چھٽندڙ
चुहिंड्ड़ी	چهندڙي
चुहिंड्ड़ी	چهنڊڙي
चुहिंब	چھنب
चुहंदड़	چهندڙ
चूड़ी	چوُڙيِ
चूड़ो	چوُڙو
चूपणु	چوپڻ
चूर	چور
चूरो	چورو
चूरो	چوُرو
चूसण	چوسڻ
चूसणु	چوسڻ
चूस्णी	چوسڻي
चूस्णो	چوسڻو
चूस्यल्	چوُسيل
चूहो	چوهو
चूं	چون
चूंगारणु	چونگارڻ
चूंगी	چونگي
चूंड	چونڊ
चूंड	چُونڊَ
चूंडणु	چونڊڻ
चूंडणु	چُونڊَڻُ
चूंडियलु	چونڊيل
चूंडींदड़्	چُونڊِيندَڙ
चेड़ाइणु	چيڙائڻ
चेड़ाईंदड़	چيڙائيندڙ
चेड़ाक	چيڙاڪ
चेड़ाक्	چيڙاڪ
चेड़्हणु	چيڙهڻ
चेत्ना	چيتنا
चेलो	چيلو
चेल्हि	چيله
चोखा	چوکا
चोग़ो	چوڳو
चोट	چوٽ
चोटी	چوٽي
चोड़णु	چوڙڻ
चोॾहां	چوڏهان
चोथाई	چوٿائي
चोथों	چوٿون
चोप्ड़ी	چوپڙي
चोर	چور
चोराइणु	چورائڻ
चोरायलु	چورايل
चोरी	چوري
चोरीअ	چوريءَ
चोरु	چور
चोंकी	چونڪي
चौकस	چوڪس
चौकीदार	چوڪيدار
चौकुंडो	چوڪنڊو
चौड़ाई	چوڙائي
चौड़ो	چوڙو
चौधारी	چوڌاري
चौपायो	چوپايو
चौपायो	چَوپايو
चौपेरो	چوپيرو
चौप्ड़ी	چوپڙي
चौरस	چورس
चौंकी	چونڪي
चौंकु	چونڪ
चंङी	چڱي
चंचल	چنچل
चंचल्	چنچل
चंचल्ट्~आ	چنچلتا
चंचल्ता	چنچلتا
चंड	چنڊ
चंडु	چنڊ
चंदन	چندن
चंदो	چندو
चंद्रमा	چندرما
चंद्रमा	ڇندرما
चंबिड़ंदड़	چنبڙندڙ
चंबेली	چنبيلي
चंबो	چنبو
च्टाई	چٽائي
छको	ڇڪو
छक्ड़ो	ڇڪڙو
छछुंदर	ڇڇندر
छॼह्री	ڇڄهري
छटणु	ڇٽڻ
छटार	ڇٽار
छटी	ڇٽي
छटु	ڇٽ
छट्पटाइणु	ڇٽپٽائڻ
छड़	ڇڙ
छड़ो	ڇڙو
छॾण	ڇڏڻَ
छॾणु	ڇَڏَڻُ
छॾणु	ڇڏڻ
छॾणु	ڇڏڻُ
छॾयल	ڇڏيل
छॾाइण	ڇڏائڻُ
छॾाइणु	ڇڏائڻ
छॾाइण्	ڇڏائڻ
छॾिणु	ڇڏڻ
छॾींदड़	ڇڏيندڙ
छॾे	ڇَڏي
छॾे	ڇڏي
छॾे	ڏيڻ
छण्कार	ڇڻڪار
छति	ڇت
छदणु	ڇڏڻ
छपरु	ڇپر
छपरु	ڇَپَرُ
छपाई	ڇپائي
छपायल	ڇپايل
छप्यल	ڇَپيَلَ
छप्रो	ڇپرو
छर	ڇر
छल	ڇل
छलु	ڇل
छलो	ڇلو
छल्कणु	ڇلڪڻ
छव	ڇو
छह	ڇه
छहु	چاه
छा	ڇا
छाकण	ڇاڪاڻ
छाकाण	ڇاڪاڻ
छाकाणि	ڇاڪاڻ
छाखूं	ڇاکون
छाछोलणु	ڇاڇولڻ
-छाड़	ڇاڙ
छाणणु	ڇاڻڻ
छाणी	ڇاڻي
छाणो	ڇاڻو
छाति	ڇات
छाती	ڇاتي
छाप	ڇاپ
छापण	ڇاپڻ
छापणु	ڇاپڻ
छापे	ڇاپي
छापो	ڇاپو
छाप्ख़ानो	ڇاپخانو
छाप्रू	ڇاپرو
छाया	ڇايا
छायादार	ڇايادار
छालाइ	ڇالاءِ
छांग	ڇانگ
छांट	ڇانٽ
छांडु	ڇانڊ
छांयल	ڇانيل
छांव	ڇانو
छांवेरो	ڇانويرو
छांहीं	ڇانهين
छिक	ڇڪ
छिकण	ڇڪڻ
छिकणु	ڇِڪَڻُ
छिकणु	ڇڪڻ
छिकताण	ڇڪتاڻ
छिकींदड़	ڇڪيندڙ
छिके	ڇڪي
छिक्यलु	ڇڪيل
छिछिड़ु	ڇِڇِڙُ
छिॼणु	ڇڄڻ
छिट्रो	ڇٽرو
छिडाई	ڇڊائي
छिड़िॿ	ڇڙٻ
छिडेरो	ڇڊيرو
छिडो	ڇڊو
छिड़्काइणु	ڇڙڪائڻ
छिड़्काउ	ڇڙڪاءُ
छिड़्ॿणु	ڇڙٻڻ
छिड़्विछिड़	ڇڙوڇڙ
छिण्कारु	ڇڻڪار
छिति	ڇت
छिति	ڇِتِ
छितो	ڇتو
छिनणु	چنڻ
छिनणु	ڇنڻ
छिनी	ڇني
छिनु	ڇن
छिप	ڇپ
छिप	ڇِپَ
छिपुनि	ڇپن
छिर्काइणु	ڇرڪائڻ
छिर्कु	ڇرڪ
छिलणु	ڇلڻ
छिलिड़ु	ڇلڙ
छिलु	ڇِلُ
छिल्को	ڇلڪو
छिल्कोन्	ڇلڪو
छिंभ	ڇنڀ
छी	ڇي
छींभणु	ڇينڀڻ
छींभणु	ڇيِنڀَڻُ
छुॻो	ڇڳو
छुटणु	ڇٽڻ
छुटल	ڇُٽَل
छुटल्	ڇٽل
छुटिकारो	ڇٽڪارو
छुटी	ڇوٽي
छुटी	ڇٽي
छुट्कारे	ڇوٽڪاري
छुट्कारो	ڇٽڪارو
छुड़्वाॻ	ڇڙواڳ
छुड़्वाॻी	ڇِڙواڳي
छुपी	ڇپي
छुरी	ڇري
छुरो	ڇرو
छुहण	ڇُهَڻَ
छुहणु	ڇھڻ
छुहणु	ڇهڻ
छुहो	ڇهو
छुहंदड़	ڇهندڙ
छूट	ڇوٽ
छूत	ڇوت
छूत्	ڇوت
छेकु	ڇيڪ
छेड़	ڇيڙ
छेड़णु	ڇيڙڻ
छेड़ो	ڇيڙو
छेड़्छाड़	ڇيڙڇاڙ
छेणी	ڇيڻي
छेणो	ڇيڻو
छेति	ڇيت
छेदु	ڇيد
छेरु	ڇيڙ
छेलो	ڇيلو
छो	ڇو
छोकर्पिणो	ڇوڪرپڻو
छोक्ड़ी	ڇوڪِڙيِ
छोक्र	ڇوڪر
